epoch,train_loss,test_loss,train_f1,test_f1,fold
1,1.4665646623835382,0.9472221647300859,0.3683046532146568,0.40190468540729074,0
2,1.1566764136436813,0.6389307720029224,0.4463468979924375,0.44173370044205845,0
3,1.1612544647631116,0.6354164344115849,0.4491384371564721,0.46927231162782257,0
4,1.0844058527038107,0.7153874571727467,0.475469956247104,0.5032957005729781,0
5,1.0607511513088326,0.5272793574870502,0.4679616145204262,0.6147627808688096,0
6,1.0229977250044724,0.5571838032155141,0.4677812398137018,0.5130627708789963,0
7,0.9917154764682531,0.6840984662416915,0.50399422560948,0.45839560267352986,0
8,1.0445460487904206,0.5982529490057679,0.47727554920032156,0.5374411608805482,0
9,0.98463557348125,0.5648087908643006,0.4780823151897382,0.4044016049873832,0
10,0.9640619203400644,0.9135533723517926,0.47980954067853354,0.40260192248418325,0
11,0.9425929899681862,0.4908422030454134,0.5204986523495307,0.5322158020690569,0
12,0.9061907993271341,0.5340434549729863,0.5280026029796261,0.5147164573152505,0
13,0.9298904576003143,0.5342445882023686,0.5235805793247704,0.5223940140442797,0
14,0.9384996950109019,0.4681314239550355,0.503245957565452,0.5572572258548683,0
15,0.9214248351170735,0.5703704416561518,0.5121492232115794,0.5756472657555517,0
16,0.9198215313293227,0.4929372209810863,0.5362843250226904,0.5408145404346436,0
17,0.9432565929030327,0.4694356023177613,0.5305545562165316,0.5982951895373415,0
18,0.8973339237323794,0.6207595448805033,0.5300171686179566,0.4589307549775115,0
19,0.922656203007905,0.46047428011024083,0.5438182773306294,0.47949348086065197,0
20,0.9202729171136026,0.5455805691074661,0.5289281544932901,0.6226776989311217,0
21,0.9150042279281808,0.4626443202260637,0.529830929938363,0.6025152545249924,0
22,0.8465839423998244,0.4491573046811306,0.54697319622067,0.5940602968008737,0
23,0.8678191813119964,0.5182213620758568,0.5422748430246385,0.659498098888586,0
24,0.8403410014903616,0.500239967382139,0.5643599825339343,0.61135444166848,0
25,0.8646478872693473,0.41715623090981785,0.558142605101358,0.58277583616241,0
1,1.5295945725630493,0.9391401618936636,0.3342841593895815,0.30708465609877805,1
2,1.1759713345491052,0.7942462938491011,0.4238528623130825,0.4728753422471471,1
3,1.1104955461374861,0.80895339920573,0.43592277457013456,0.375104019792863,1
4,1.0847270299224017,0.70208706630625,0.44201125979157724,0.36277615384163664,1
5,1.043290692249244,0.7565381831292363,0.4680477964341285,0.4888181946538093,1
6,0.9859103995569769,0.9733245275697134,0.47050532555400615,0.45951426355665187,1
7,0.9601756644717304,0.6948868899137108,0.5035086582259235,0.4978445783723997,1
8,0.9671173297198955,0.6380588375779725,0.5020895178039471,0.5594743659885526,1
9,0.9964911210150302,0.6875250345524264,0.4699017942731898,0.5428015403445042,1
10,0.8892381744278027,0.6879094891780375,0.5324079422906918,0.54573518452178,1
11,0.8970730225208853,0.6185467671738923,0.516623389618809,0.5609369191334778,1
12,0.8508184611279979,0.7535181729306542,0.5437158653121049,0.4572891505568955,1
13,0.9297828907125777,0.65495045517782,0.4961559281191907,0.5181132511810795,1
14,0.8944171104544426,0.6510062670321578,0.5231361231731171,0.42066168072522986,1
15,0.8685364431581196,0.6699408402081823,0.53803424316737,0.5328404152227924,1
16,0.8572420133690466,0.7866809327889533,0.5375582999381334,0.4567814527447856,1
17,0.8213332007060916,0.8076820869515412,0.5605175517463885,0.47291147487780755,1
18,0.8629905890797632,0.6090822823236893,0.5335528089085743,0.5264196211650015,1
19,0.807790897136521,0.6903602471745091,0.5550619163124857,0.5182411598788018,1
20,0.8417737693915143,0.7968617416374439,0.5629700244226532,0.48329457928101466,1
21,0.8166102353856137,0.7178773910187892,0.5527747843071124,0.5087049903407572,1
22,0.8189309706367712,0.8016649857231409,0.5567319152132336,0.5493767159787558,1
23,0.8463583359875163,0.7644830876553472,0.5436073184089507,0.5603141759230981,1
24,0.8165929221355409,0.8068896189372796,0.5889484609643545,0.5578184200437589,1
25,0.8454941904887918,0.6559975445270538,0.5507812753001753,0.4336115101982168,1
1,1.531310477430962,0.937283807633346,0.31163931166350084,0.43747967021273665,2
2,1.1925381977264196,0.9617547152029313,0.4339259498855356,0.27544482707611107,2
3,1.1621209507663501,0.6546628113011991,0.45772718347402575,0.49702086225950004,2
4,1.071944353896189,0.5328264550682178,0.42296149533899235,0.44137350637753436,2
5,1.0447970604787677,0.4388642220245419,0.4785495866346682,0.5088430126388398,2
6,0.9966726070125353,0.5280471435412628,0.47552138472720984,0.6124521451512215,2
7,1.071235587498913,0.4891104799349685,0.43385419513707657,0.6107333186601752,2
8,1.0227066498913178,0.5389394133234264,0.46689827976249076,0.526550910536206,2
9,0.9950747502993231,0.5250569732461322,0.49223168978083287,0.5369222689459661,2
10,0.9937700692377134,0.5323825566510123,0.47131213098676,0.5415743318099526,2
11,1.0027241463530554,0.5299382677993021,0.48441985946892857,0.48747419875178505,2
12,0.9368313392003377,0.45014571273185217,0.49888284610319794,0.49362248678794074,2
13,0.8958847437819389,0.45399317142623435,0.5205409910905512,0.5290967672491904,2
14,0.9295078205191382,0.46107629772405084,0.5060789794204603,0.5609040095794208,2
15,0.9516294942054574,0.4827529867596829,0.4998538254587877,0.5345002658058156,2
16,0.9158370992908739,0.4227522807996005,0.5071372183064518,0.6008171643004024,2
17,0.8891136621231358,0.4259536528118786,0.5030166444942203,0.640664848922569,2
