fold,macro_f1,accuracy
0,0.58277583616241,0.8521897810218978
1,0.4336115101982168,0.7427007299270073
2,0.6242098479657164,0.8592321755027422
3,0.5965092231039555,0.8592321755027422
4,0.5900229703711555,0.8208409506398537
