fold,macro_f1,accuracy
0,0.9310454599207303,0.9653284671532847
1,0.918296336392269,0.9616788321167883
2,0.8886786836461972,0.9670932358318098
3,0.9236866119927135,0.9689213893967094
4,0.8764428022219648,0.9488117001828154
