name,freeze,lr,epochs,val_macro_f1,val_accuracy,minutes
finetune_lr1e-4,False,0.0001,15,0.9078958894951251,0.9579524680073126,3.0
frozen_backbone,True,0.001,15,0.7114450733085078,0.9122486288848263,2.8
finetune_lr1e-3,False,0.001,15,0.5020651091259972,0.8464351005484461,3.0
