epoch,train_loss,eval_loss,eval_f1,fold
1,1.0076791739126165,0.5357108457544206,0.6806996953956682,0
2,0.46678298703607984,0.3186452041522865,0.8862057490513341,0
3,0.35609195306182395,0.29913116516001576,0.8583666668184109,0
4,0.3171185404130344,0.21797758165787715,0.8532892981183198,0
5,0.3245596038581792,0.22119131744125464,0.8618040834490746,0
6,0.25587873015503404,0.1788390473272298,0.9191697278031182,0
7,0.21734592863118174,0.22159570105880308,0.9023332587716312,0
8,0.22147326924880245,0.15393146804200797,0.9218079176875249,0
9,0.20645167223356967,0.16493857590087357,0.9252448019952308,0
10,0.17180064132683023,0.16565044149463268,0.9085450952142655,0
11,0.17965879874340526,0.15770158553699942,0.9176154825401375,0
12,0.14249989669472182,0.24184215629310177,0.8949753202058552,0
13,0.20704679176817206,0.17629680061631287,0.8954903391346412,0
14,0.14164358968840118,0.21220881272324899,0.9165560293238967,0
15,0.13528375761722147,0.159860186154757,0.9298073192810035,0
16,0.13991183138509056,0.14973514481790934,0.938408205087246,0
17,0.12963067015565766,0.11554340074386067,0.937019557899165,0
18,0.11717790252132985,0.11819835767544208,0.9573721041697042,0
19,0.0808770612984991,0.11202737070519365,0.9400447677836036,0
20,0.0793532530852462,0.1049508493687672,0.9395950090000523,0
21,0.1409506232189691,0.1517823846698662,0.9154414515525625,0
22,0.09253684504833216,0.09037666169125212,0.9547637862252663,0
23,0.10768328684004762,0.19853936069828532,0.8856223405392691,0
24,0.2643592795427308,0.1518020047156147,0.909981858155374,0
25,0.0963987051511448,0.12024190988524198,0.9310454599207303,0
1,1.0017774132028896,0.5527047020022886,0.67456844445021,1
2,0.48832678718619177,0.3645901762656052,0.8081632259225859,1
3,0.33898490776259804,0.2458803775808672,0.9022124318966035,1
4,0.3494244806158755,0.24612247002698537,0.8839027103225735,1
5,0.26330906481177035,0.28336158950547996,0.8621002468580291,1
6,0.23689887111401547,0.2110960814612408,0.8917314342432666,1
7,0.19917226311495012,0.2496182771168486,0.8243870213031003,1
8,0.16606699694977634,0.27530832445575265,0.8472882526554844,1
9,0.1450640176082104,0.28706372412300607,0.8668956382924823,1
10,0.1750904644131933,0.24630309933334263,0.8626578722564533,1
11,0.15385673006902062,0.2565764085921615,0.9089137457343184,1
12,0.13375433746430906,0.19334082376725129,0.8902200267370122,1
13,0.12256216919138967,0.22712015051880757,0.8669449678989469,1
14,0.09889800110665929,0.2355086944029024,0.8868993968993969,1
15,0.10842679409023465,0.2240136839750216,0.8925375134726777,1
16,0.1717498030899839,0.2829242794802939,0.8739376675084848,1
17,0.189934947110573,0.1974892742184278,0.8943294258772726,1
18,0.15047504399405762,0.2885162781549696,0.8318900912708854,1
19,0.11257936080425038,0.19931931743724612,0.863852144732913,1
20,0.10932513801810702,0.2977936278126223,0.8346454849828535,1
21,0.15025915155445074,0.20609506677724013,0.8657434159308234,1
22,0.16044599251109423,0.21796216169222646,0.8646932344738355,1
23,0.163376279314831,0.17710536042649816,0.8694267353343716,1
24,0.10865452373379057,0.22914757103876748,0.8675903546209551,1
25,0.0873796111300363,0.19664031904986143,0.918296336392269,1
1,1.026025358237088,0.43625895201587805,0.7426075374480797,2
2,0.5355625320242965,0.40272692849066183,0.7171455074851977,2
3,0.44634903854431085,0.2925642619975306,0.7906167220863798,2
4,0.34784096860450153,0.245341364471361,0.7571699559532044,2
5,0.3188462826351053,0.21119317947333538,0.8588200980288536,2
6,0.2372831959702653,0.23112344243129548,0.8587650752471863,2
7,0.2317792390307335,0.20094693663072052,0.8700322348669961,2
8,0.23914017937226928,0.14736224012023733,0.913507420331525,2
9,0.17916201544951085,0.1644299999662629,0.8702090669630685,2
10,0.22751727417859857,0.1859985221776655,0.8903680574544006,2
11,0.2398946012638203,0.14085906732638437,0.8930475138809064,2
12,0.20034945286708336,0.14939351149168975,0.848030827658611,2
13,0.12672144146678654,0.15503065792036666,0.9142846035594636,2
14,0.1707322770397957,0.1425069921447383,0.8916004576925532,2
15,0.13927203533686186,0.1614462024020627,0.8963345575680027,2
16,0.12683129414371705,0.1707665763294811,0.8717998361761691,2
17,0.11887452824202847,0.13299245887029051,0.9002256405339225,2
18,0.11076046447503513,0.2125660386660104,0.8503726587206375,2
19,0.24149305741196353,0.13170289223902165,0.8579125026305489,2
20,0.14006486892844786,0.19981740382534044,0.8123408208722079,2
21,0.11397411744578073,0.14893327756287697,0.9046277035600462,2
22,0.13616698802061822,0.18581733965017821,0.8250062206114658,2
23,0.11529558179857524,0.16558654010900292,0.9068703516625889,2
24,0.08361187974654444,0.13318941317808558,0.9207242663261899,2
25,0.17529242245573975,0.14067209164196562,0.8886786836461972,2
1,1.0058692146109665,0.53307384232117,0.7000796492873901,3
